City,Category,Sub Category,English Name,Arabic Name,Rating,Reviews,Address,Postal Code,Location,Phone,Website,Image URL
Cairo,Clubs,نادي رياضي,نادي القاهرة الرياضي,نادي القاهرة الرياضي,4.3,عدد التعليقات: ٢٬٢١٠,"
Sq، Ahmed Maher، التحرير، محافظة القاهرة‬",,"
26QF+HG الزمالك",,http://www.cairosportingclub.com/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepLDERWIyzcTyERMh7LdanuFF8DUs5a9F0929cqJR7AN9yi2_Zy87IBZnZEhOI_9km17pznEiq7991NztF5P8_Q0z6vaHXsPU8Pk_qAk0JH4GSw7Js7nUJ4u38etFSL_xnel_8eMg=w408-h306-k-no
Cairo,Clubs,النادي الاجتماعي,نادي الجزيرة الرياضي,نادي الجزيرة الرياضي,4.5,عدد التعليقات: ١٢٬٤٢٨,"
GSC, الزمالك، محافظة القاهرة‬ 4270103",4270103,"
363F+7C الزمالك","
02 27356000",https://www.gsc.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqFhLhYMObNACVSzUd83wULGe1lNC_kNNP6r_N5tiB6XTNYVL7wwHsWsxldYJXFG-cL3TJGBeZN5fWv3VD1kpiLHMxtNdwN1fLa4sa4CYq_4v-PfTrxVu4n2iDZcBMEYQTcxEsaqg=w408-h306-k-no
Cairo,Clubs,نوادي,نادي مدينة نصر الرياضي,نادي مدينة نصر الرياضي,4.1,عدد التعليقات: ٥٬٠٣٩,"
3856+H3G، عزبة العرب، ثان مدينة نصر، محافظة القاهرة‬ 4433146",4433146,,"
02 22633001",http://ncs-c.blogspot.com.eg/?m=1,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerFc0pLnZ2zvY4jMJOAml42szcSX6het6PMGkv3kIfygxtjuDOnjRqB9hMmMRiqWa7eOhjGFPvq2jkkDMmlHEu7mRqQqEakb0Oyah7twdbl1KtUFnJ6vitHff_PWtEWmVUX-ZY=w408-h306-k-no
Cairo,Clubs,نادي رياضي,نادي هليوبوليس الرياضى,نادي هليوبوليس الرياضى,4.6,عدد التعليقات: ٩٬٠٧٠,"
17 السيد الميرغني، منشية البكري، قسم مصر الجديدة، محافظة القاهرة‬ 4460026",4460026,"
38Q8+VC قسم مصر الجديدة","
02 24170061",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerlHCkKi79PuF2GUODHEaGVCkuasoYdU00dgmXIMyd6hYl4aQ9Y_k5-e_UD_SsRsH0NHk3YuQId6Kq8_FWN-GMlKm7vTy5nXYe-ksyjBnLNzlogWyvLUccCIKUwrNzpcvr6cgZxgg=w408-h306-k-no
Cairo,Clubs,نادي رياضي,نادي الزهور الرياضي,نادي الزهور الرياضي,4.3,عدد التعليقات: ٧٬٢٦٦,"
شارع يوسف عباس، الأستاد، مدينة نصر، محافظة القاهرة‬ 4436004",4436004,"
3899+FF مدينة نصر","
02 24048000",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoXmtHmWBITZTIF0DYGzbhdkvKvwidklmjV0M9zXzQI_3-BYsBCd-0MD6TjAeyd1gwc-KpC8yp6yOwoZuH4ijG5JlvaJ4dQ7To7P9oQWDPcEPO00jLekuDxm7KpQpHiiDh-9qNG-A=w408-h306-k-no
Cairo,Clubs,نادي رياضي,نادى رويال الرياضى التجمع,نادى رويال الرياضى التجمع,4.3,عدد التعليقات: ١٬٧١٤,"
Egypt امام اللوتس الجنوبي, التسعين الجنوبي، قسم أول القاهرة الجديدة، محافظة القاهرة‬ 4760001",4760001,"
2G6F+GW قسم أول القاهرة الجديدة","
012 87333346",https://www.royalsportingclub.com/home,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepLqbZ9v9VaHQDsYoG3TqUPXjHiLYUGpQiR1QYYeHVVCCRwZTEW4Uzv6R_ox7QBV9Rh4ZALJ6WzyjkzsnyAcSi8jmxXsP61hlihErPNiZtiyfXq0xLUkqfEwn-YBXTxCgbGpQIErA=w408-h306-k-no
Cairo,Clubs,النادي الاجتماعي,نادي نقابة المهندسين بالزمالك,نادي نقابة المهندسين بالزمالك,3.9,عدد التعليقات: ٦٬٤٤٤,"
27 أبو الفدا، الزمالك، محافظة القاهرة‬ 4271103",4271103,"
3699+G2 الزمالك","
02 27363246",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqfNHf_uPQMifjqM70wihen8waQ5b1_OEpMeF7I5yNFFP2lg4Ab7iOl-UiqGjIm4bTBjn4SICz7cGDD618Qa0PTh7-OPBrvtpX5NUaRjqVUGwSB5oFEjtiCLnagdPoWrh5lZFjklw=w408-h306-k-no
Cairo,Clubs,نوادي,نادي كهرباء القاهرة,نادي كهرباء القاهرة,3.8,عدد التعليقات: ١٬٦٤٢,"
الترعة البولاقية بجوار، كوبري الساحل، شبرا",,"
36MM+X4 شبرا","
012 23222779",https://cairos-club-hub.lovable.app/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqs7pWM4hMWjggQVafDj5odXCrQRfssU79yvNuZ_l-Frz2y98ui77ZITubQ7QVEpuykcu1IMBj7DIfIp_Lh_VnvBMcBaPlLGPKRzgw-Qh-IL_e8xLgo5qg0tXCzrqvTmKOkjJdBox3l7WPM=w532-h240-k-no
Cairo,Clubs,صالة ديسكو,1OK Club Cairo,1OK Club Cairo,4.1,عدد التعليقات: ١٦٨,"
منتزة الجيزة، الزمالك، محافظة القاهرة‬ 11518",11518,"
26QF+G2 الزمالك","
010 50611112",https://instagram.com/oneokclub?r=nametag,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerXRDbhpoEx2XxqRMlDRLipSuilIpyisIx-f1byIFEUrBUUf1KwJleT7ybYCaUm5k84KS7-ew4oZmRAWby2taGRP6RnRZRDTLNhdPhiDkUgU6z11pd6E7vz916l11ILSyJE74_k=w408-h759-k-no
Cairo,Clubs,صالة ديسكو,Omni Club Cairo,Omni Club Cairo,3.6,عدد التعليقات: ٦٠٤,"
الخليج، الزمالك، محافظة القاهرة‬ 4270161",4270161,"
26XH+Q3 الزمالك","
010 98922223",https://heylink.me/OMNI/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepyg4VsvS53Tc6BMLusSNZbtg0gB_9dwWQqHfNQcUILC-Iicjw489xbm5an4sCR0ljmwfa2z_UQLzMjz73jZrkvj_s4ZQcGJP30EnZfq62bdeOU2hT4Cuig5anUbI2p10s7s75Q=w426-h240-k-no
