City,Category,Sub Category,English Name,Arabic Name,Rating,Reviews,Address,Postal Code,Location,Phone,Website,Image URL
Cairo,Gas Stations,محطة وقود,محطة طاقة - Taqa,محطة طاقة - Taqa,4.1,عدد التعليقات: ١٬٤٠٣,"
3842+VGW، الاوتوستراد، مدينة نصر، محافظة القاهرة‬ 4433016",4433016,,"
011 48600050",http://www.taqa.com.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqRdTcGcJLpk3-fU6fw303cmmtLzEFG6aBmm8OUMXHdPnxXfZhLzwgCNd03PSWI0Lth12T5nLF5Fev11dtDMhXrF2q2UEw2oSXNyNF33UBtfVa0pV6tPVEd1jOzsodrL6qPPlxFAhY_x_Cf=w408-h306-k-no
Cairo,Gas Stations,محطة وقود,محطة إمارات مصر التجمع,محطة إمارات مصر التجمع,4.5,عدد التعليقات: ٣٬٥٧٦,"
منطقة الخدمات، قطعة أرض، 1 عمر بن عبد العزيز، قسم أول القاهرة الجديدة، محافظة القاهرة‬ 11835",11835,"
2C5J+76 قسم أول القاهرة الجديدة","
011 44711994",http://www.emaratmisr.com/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqzGdhB5OPu1ihBeFvE1gGFJRFKaH5OIxcKr76lGsA5H2CkWSEEC-LR2um4M9PIr86QBfEn5HWsyc1lu9-98_zTthbDtw2ynmpS83T2xVBrFWIn_R2rY6zHT5lgRazhKEacLZP7=w408-h544-k-no
Cairo,Gas Stations,محطة وقود,محطة بنزين اون زا رن,محطة بنزين اون زا رن,4.3,عدد التعليقات: ١٬٦٣٨,"
59 الروضة، فم الخليج ودير النحاس، قسم مصر القديمة، محافظة القاهرة‬ 4241303",4241303,"
269H+9R قسم مصر القديمة","
011 26697919",https://corporate.exxonmobil.com/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer6k5mTyB3udfu1B2tvGpwFTI2-duZRYx9SWO-KibeOiBkrbTMt962C8QJQvfGsQUhoc0OBvtnGKYQh-NTSKBIgPvgLMmaol0HaaZ1h_GhC3mNIl_Hphune2_qzpF5mH8R1Pcj0dA=w408-h544-k-no
Cairo,Gas Stations,محطة وقود,محطة موبيل,محطة موبيل,4.1,عدد التعليقات: ٢٬٢٢٣,"
عين الصيرة، قسم مصر القديمة، محافظة القاهرة‬ 4250017",4250017,"
2782+C7 قسم مصر القديمة","
02 23652087",https://corporate.exxonmobil.com/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerH2V1lOqc9VYSlAhoBSxZK8lWZB-FvnTF6A4NrQkLiQizFS_7cGFj1DOBt2dWNaoOhjpdRPLLMsIIqFFMovLt5WrJR2qYACtXHHOpf77yP3woEz7n6qAYAYAirHsCAO_i93Ow=w408-h544-k-no
Cairo,Gas Stations,محطة وقود,محطة وقود توتال,محطة وقود توتال,4.0,عدد التعليقات: ١٬٠٤٤,"
Beside Oasis, El-Nasr Road, طريق المطار، شيراتون المطار، قسم النزهة",,"
495F+R4 قسم النزهة","
02 25225655",https://eg.totalenergies.com/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerOzUzLd3w8r0fVpBEvGhtKueSUnYgZl0ff7ljlxk1PapvIxPVwENS1WOl8JX1zlg2iXxIQLd0to4nTU5cY8_eonMeJTTrwFuL1WkvDklSVE6-5sit6wJMCbg9lYtdqmvd5b5vis4moTY8=w100-h115-p-k-no
Cairo,Gas Stations,محطة وقود,بنزينة التعاون وغاز طبيعى,بنزينة التعاون وغاز طبيعى,3.8,عدد التعليقات: ٢٬٢٣٤,"
38G6+QM4، صلاح سالم، الأستاد، قسم مصر الجديدة، محافظة القاهرة‬ 4436021",4436021,,"
02 27951800",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLHHvfsfDMk69OV0RfUc5fX7lBR5xf9D56DcqWtTbXU0rL6-JZ4_PtblTMikcEMxb3Oq_3S4avY6_XTs4d52m0CBqBDqXNVTYk8oby6I0h6fIsD9_dEYSKtdr2zw7yHIeR3K7paA=w425-h240-k-no
Cairo,Gas Stations,محطة وقود,محطة وقود مصر,محطة وقود مصر,4.0,عدد التعليقات: ٣٨٩,"
3669+MCP، نادى الضباط، أبو الفدا، الزمالك، محافظة القاهرة‬ 4271020",4271020,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepdQXbupk8QKjFZTNj66vw1am8E1yj1kRQq8gCZsPzV_rqjxdFrd9bOFG-K29qhZ0LdycxHfHYM29sRUotVJA5k71Z5BSkMmQZGnEmTVWNqmGJGAUFvY4QSzNCk8qhXvQU5RevBWw=w426-h240-k-no
Cairo,Gas Stations,محطة وقود,محطة إيني,محطة إيني,4.5,عدد التعليقات: ١٨٧,"
378W+44Q، إمتداد رمسيس، السريات الشرقية، مدينة نصر، محافظة القاهرة‬،، ثان مدينة نصر",,,,http://www.eni.com/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqeI3d0jIvceMpg5n67l9Jd8QZU3vyejw1YjP9eEPCKA6JBLCkPH9HuKNDSVHQh3kfMc11JS730vcfrTJgscwzX4NUTgzqic2tVsO4edTkUGHOI8kSkmLPDCOshpWPvHOqYlzUK=w408-h306-k-no
Cairo,Gas Stations,محطة وقود,بنزينة التعاون,بنزينة التعاون,3.8,عدد التعليقات: ٧١٠,"
26WV+Q8G، الحسني، St، عابدين، محافظة القاهرة‬ 4280142",4280142,,"
02 23930011",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerP_fslGT6JKre8H7M7126gFDz9MmB_fFCAgw7vxmQPr4cZLHhIS7b45uH5eUwd6JRcA2a5TxaDUQIR0cCNGHy0LJQWKwbU8rL37VrHQKN1-1u6O4dVEdVxn6Pn2vsJdyHNDroHIn2vNxAK=w408-h315-k-no
Cairo,Gas Stations,محطة وقود,بنزينة التعاون,بنزينة التعاون,3.7,عدد التعليقات: ٤٣٠,"
37FJ+GCG، رمسيس، Al Abbaseyah Al Bahreyah، الوايلى، محافظة القاهرة‬ 4390330",4390330,,"
02 24820849",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-R8bEbBllrCt6Jdw5HFLAC4I6xSWYnMTF3BBC2eKWRlJmR-QTyzOxhtp6xEbJ2Dosb4Zx_-KH8u2BiSm5g967VqSi-iE_RLMDHQYjqkLHBz5KjihZh9jjPtfUQOeuLGyaR_QZuQ=w426-h240-k-no
