City,Category,Sub Category,English Name,Arabic Name,Rating,Reviews,Address,Postal Code,Location,Phone,Website,Image URL
Cairo,Hospitals,مستشفى,المستشفي السعودي الألماني القاهرة,المستشفي السعودي الألماني القاهرة,4.0,عدد التعليقات: ٢٬٩٤٩,"
محور طه حسين، الهايكستب، قسم النزهة، محافظة القاهرة‬ 4473303",4473303,"
49JM+VV قسم النزهة","
0216259",https://sgheg.com/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqfWsSYEIDNhLJ_fDWfgRdWk6Wg5VZ00jDJTyBJlSzp68NylSCYqCeatFmFUbtK0MlMKJKg9nAZ8L3YDG38pfsawHyh7EReq-kJY9TdLnDtQ70WTqOTXxdzPP_4dFghSNnsMTV2=w408-h306-k-no
Cairo,Hospitals,مستشفى جامعي,مستشفى الحسين التخصصي,مستشفى الحسين التخصصي,3.9,عدد التعليقات: ٥٤٧,"
27V8+X79، جوهر القائد، Ad، الدرب الأحمر، محافظة القاهرة‬ 4293076",4293076,,"
010 20186351",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoQTACXcVF-CBcgNitSL3k_tkrSxrwhnSt6oB_XiPceutGhrnMBKt-qAS43D_eOk_N_QEEWivdIs5sJLQQ7dPYc2yeD5EDU-L-8UeeZIk4a7gJm6aAHnff7qu-uxCSVoJQFWeZw=w408-h575-k-no
Cairo,Hospitals,مستشفى,القاهره التخصصي مستشفيات كليوبترا,القاهره التخصصي مستشفيات كليوبترا,4.2,عدد التعليقات: ١٬٩٨١,"
4 شارع أبوعبيدة, البكري, روكسي, قسم مصر الجديدة، محافظة القاهرة‬ 4460220",4460220,"
38V9+Q2 قسم مصر الجديدة","
0219668",http://www.cleopatrahospitals.com/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweooeKppyMDl7-7MQWwmb992rCzH_olI17GzBg3fzeVEpuon1w56Ztsj40fpeNvd8RU1QBabktgmyDK8sdeia3AqR9r16Nzz_FJI_N3ywaoPtUC_QA_K8srAEoDRy9iG2assV3M9=w408-h544-k-no
Cairo,Hospitals,مستشفى خاصة,المستشفى القبطي بالقاهرة,المستشفى القبطي بالقاهرة,3.8,عدد التعليقات: ٥٠٤,"
Ramsis st. extension - beside NBE branch - Cairo القاهرة, 6 القبيسي، الظاهر، الأزبكية، محافظة القاهرة‬ 11432",11432,"
3772+9X الأزبكية","
02 25899866",http://eg.kompass.com/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepyAyfOl4fg8dV7FPN780u2Q0Zrg-9fu6bQYUV30NS_qPUA9Wq1ePykkEro4ne7kSrknjszZVo78r-6HAVZu8px6tClx4jfYNEqBKaZMFbkWGDCF_rkTu-mtHUi6Y1PSh6lx_CgmeWfKJ19=w425-h240-k-no
Cairo,Hospitals,مستشفى,مستشفيات جامعة القاهرة,مستشفيات جامعة القاهرة,3.8,عدد التعليقات: ٧٢,"
26JG+JRF، قسم مصر القديمة، محافظة القاهرة‬ 4240310",4240310,,"
02 23643988",http://cu.edu.eg/page.php?pg=contentFront/SubSectionData.php&SubSectionId=199,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepExRLmZUsrsDJCb2dRTdqk_K_4B9o8fx1z0q0lJEe1d88KyVpFbAl9rg1yCjESukh8C4VMojdZbe7P2_gNuRjXsd_P4LacPusdCxxiDqexbsHNHvRYDCEqpXGEvW56XdU_QFxWow=w426-h240-k-no
Cairo,Hospitals,مستشفى,مستشفى القاهرة الجديدة,مستشفى القاهرة الجديدة,3.4,عدد التعليقات: ٣٨٥,"
XCHP+HPR، قسم ثالث القاهره الجديده، محافظة القاهرة‬ 4713311",4713311,,"
02 27586397",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerJOn5ylsPyr6b1d0c_xPti4bTidgabS7pSD_OPlSzoBadb_tlfUfO5RsGhsNGnQ545_oPUkrWnDNVFiU9t03WDadgMMVaiaXauDgysmDPmVmNkCKOTcUvtt-2wSB1vHafeCk2yW0Z0HgpE=w408-h544-k-no
Cairo,Hospitals,مستشفى متخصص,مستشفى عين شمس التخصصي العيادات الخارجية شارع الخليفة المأمون,مستشفى عين شمس التخصصي العيادات الخارجية شارع الخليفة المأمون,3.7,عدد التعليقات: ٧٨٩,"
next to the Faculty of Commerce، Al-Khalifa Al-Ma'mun Street، العباسية",,"
37HQ+93 الوايلى","
02 24039012",https://asush.asu.edu.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqty2sW4u5qgmTZjEwOr0IsPsxguCmW0QXmWZefLN-fefqXh2Tpd6a_LLyzpSEGkYFqQxBZEc3r_4RooDunhGdbp-fRm6WFzP0jH6lobcMPB_ZBvCkU5zJnisd4VP-2m_YdDgw=w424-h240-k-no
Cairo,Hospitals,مستشفى,مستشفى القاهرة الفاطمية,مستشفى القاهرة الفاطمية,4.1,عدد التعليقات: ١٣٩,"
خلف مشيخة الأزهر، الجمالية، قسم الجمالية، محافظة القاهرة‬ 4335004",4335004,"
27WC+M7 قسم الجمالية","
02 25887692",https://www.eldacatra.com/hospital/contactInfo/%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89-%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9-%D8%A7%D9%84%D9%81%D8%A7%D8%B7%D9%85%D9%8A%D8%A9-%D8%A7%D9%84%D8%AC%D9%85%D8%A7%D9%84%D9%8A%D8%A9,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo1CJMTO_MR9kOQDOySmHIYEn6OBT3pKXnlWDGXSH_5yZqX5En0P3xh6q3qnos5cb_TE7Lz6d91AVv4rw3XqxyP5_NJCYsMCpoTlQjgvX-y8YcTTqLjyOK5jfCDL1aE_zdNil4=w408-h326-k-no
Cairo,Hospitals,مستشفى,مستشفى الزهيري,مستشفى الزهيري,4.4,عدد التعليقات: ٨٥٦,"
33, El Ekhsheed street، El Roda",,"
267F+F9 قسم مصر القديمة","
02 23648364",https://www.zohairyhospital.com/,https://lh3.googleusercontent.com/p/AF1QipM5l5kP9OxTCIMD6mPIxrpo8N5L6LNC_ZxLjQ8=w408-h272-k-no
Cairo,Hospitals,مستشفى,مستشفى مصر الجديدة التخصصي,مستشفى مصر الجديدة التخصصي,4.0,عدد التعليقات: ١٩٠,"
11 محمد والي, متفرع من شارع الحجاز, محافظة القاهرة‬",,"
486R+FF قسم النزهة","
010 08087728",,https://lh3.googleusercontent.com/p/AF1QipO4Eqf0taNTiaRlGDBZmPuUYCjWkJuPXDU6XtD_=w408-h306-k-no
