City,Category,Sub Category,English Name,Arabic Name,Rating,Reviews,Address,Postal Code,Location,Phone,Website,Image URL
Cairo,Schools,مدرسة كيه-12,مدرسة جرين فالي,مدرسة جرين فالي,,,"
Mousa ibn Noseir St, العبور، محافظة القاهرة‬ 11828",11828,"
6FMC+CF العبور","
02 44780801",http://www.gvs.edu.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepcDHHLMwsa7AuTw-PjvcQ37bhGetZQZYW4y_nUW2SvAALm4--6W655RiDm_rdrRB9G1GdFDT915RljMXW3gsIjmpUF7YtEK2FpOuBhYjZgo6Jr1-xkHNB4bWtvDMLmQgs5HkM1=w408-h306-k-no
Cairo,Schools,مدرسة دولية,مدرسة القاهرة الدولية الحديثة. - Cairo Modern International School,مدرسة القاهرة الدولية الحديثة. - Cairo Modern International School,,,"
1st compound main road, محافظة القاهرة‬ 11865",11865,"
26VP+Q7 قسم قصر النيل","
010 01781924",http://cmsamerican.com/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCsF3W1-EIkQucJdb353_c8BTvAGc-vLO7dGOzmShQ22NupQaHN0yPXih8jx0B-Li72-TJPFzrcO9WZScLFEVG6hLCGWipFtoe96K44dBeYY8x7hC4Mn2fjHcMg95dCGxsori0Eg=w408-h544-k-no
Cairo,Schools,مدرسة دولية,مدرسة الكونتننتال القاهرة,مدرسة الكونتننتال القاهرة,,,"
5FV7+M9F, El Obour Rd, العبور، محافظة القاهرة‬ 6361025",6361025,,"
02 44839020",http://www.continental-school.com/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerfjzCwbGGQ4XYRQ8ucQtH_sjtBVSXJA2ZGKoV-TTNvoyCnmZDCFFbgEHE8dh65HkKrjlXfue81_gu0-HEdJ0z5U9KxhFca8JoaVevB388OhhhbdJFP4B6vMNuYYXFXQwB_foU=w408-h544-k-no
Cairo,Schools,مدرسة دولية,Sahara International School Cairo,Sahara International School Cairo,,,"
5 Seif Al Din Al Mahrany Street، ميدان رمسيس، 11523",11523,"
366X+9H الأزبكية","
02 25903850",http://www.saharaschools.com/,https://lh3.googleusercontent.com/p/AF1QipNyofaAISJgkihCWHjHDvvFIoH8fZvGdrWb8mko=w426-h240-k-no
Cairo,Schools,مدرسة تعليم عام,New Cairo British International School,New Cairo British International School,,,"
2C4C+8WC، 1st District, 3rd Zone، رقم 17، قسم أول القاهرة الجديدة، محافظة القاهرة‬",,,"
02 25657115",https://ncbis.co.uk/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3jemr_Khjbg9lQN66vi04OsC7BXzYmG2LZlX0swEjzyoiMYlhHa6DBuu3nJv0feB47Zv5PhPa3h3Aok-5CMHYIatgyTHrDUGjuwLyacIJsWFxD6lxNprr7Ta4YF-VnXkUSKsF3g=w408-h306-k-no
Cairo,Schools,مدرسة كيه-12,مدارس بى كرنك للغات,مدارس بى كرنك للغات,4.1,عدد التعليقات: ٢٥,"
25 لطفي، منشية البكري، قسم مصر الجديدة، محافظة القاهرة‬ 4460037",4460037,"
38Q4+4M قسم مصر الجديدة","
02 22560821",http://www.bkarnak.edu.eg/,https://lh3.googleusercontent.com/p/AF1QipNGwH1XPTpjUr4BewkGujjllnyQjC7qNxlvvUcf=w408-h544-k-no
Cairo,Schools,مدرسة خاصة,مدارس القاهرة الدولية للغات,مدارس القاهرة الدولية للغات,,,"
3958+727، مشروع 17، النادي الأهلي، CAIRO، محافظة القاهرة‬ 4452103",4452103,,"
02 24721556",https://cairoschools.edu.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqKj6hgUmMiS8-EfFW7S23ICsOvsaFzpoTtPFcfx4FiGDmtzb_yQGXZ_2xD0Da7VuuQEbd0U5Xb5jtojCi7yTI2XtRSPBJ3W2P2GBdMoKNbW_USjpaWNI_Uu_WBYRFOqFtdjjd8=w408-h544-k-no
Cairo,Schools,مدرسة ثنائية اللغة,مدرسة سان شارل بورومى الالمانية,مدرسة سان شارل بورومى الالمانية,,,"
8 شارع محمد محمود، DOWNTOWN، عابدين، محافظة القاهرة‬ 4280031",4280031,"
26VR+49 عابدين","
02 27900088",http://dsbkairo.de/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerVaS6lQ8lxPk6YJFnUEke0bFCnyUDs8UvuuyO7mjDBvqIktst9NyZ4TBBshtY6a13mupMSAnSSk9HJdFFYYlU1jUJm5KfBVWLZUwgZUwJBNJoocKl2F4IQ84OUnrDmCx0SWxli-Q=w493-h240-k-no
Cairo,Schools,مدرسة خاصة,المدرسة الباكستانية بالزمالك,المدرسة الباكستانية بالزمالك,,,"
29 شارع طه حسين، محمد مظهر، الزمالك، محافظة القاهرة‬ 4271151",4271151,"
3699+7W الزمالك","
02 27372417",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer638HuXZDqkba_eO2OKGNnhSWFFkORZ1ujrDhe6c2q_ZBo2GR70SUgjS3joBPJB7G6E2BrNPvHXVBVK_VEpkpbPk8Ag8LxMTK-DHq-KMj-fGEQwxaOBvnviVEO-FCb3EovttTImw=w408-h250-k-no
Cairo,Schools,مدرسة لغات,مدرسة منارة المستقبل,مدرسة منارة المستقبل,4.3,عدد التعليقات: ١٨٤,"
X8Q9+JGX, Cairo, opposite Carrefour (Maadi City Centre, Cairo, Steet 33, محافظة القاهرة‬",,,"
02 27296781",,https://lh3.googleusercontent.com/p/AF1QipPEgjAVc3BNLmdtgULF59lk7FK7I07iEthmuse2=w408-h271-k-no
