City,Category,Sub Category,English Name,Arabic Name,Rating,Reviews,Address,Postal Code,Location,Phone,Website,Image URL
Cairo,Universities,جامعة,جامعة مصر الدولية,جامعة مصر الدولية,4.4,عدد التعليقات: ٩٩٤,"
KM 28 Cairo – Ismailia Road، Ahmed Orabi District، القاهرة",,"
5F8V+M2 العبور","
012 28553772",http://www.miuegypt.edu.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepGmUFtgQ8IzviNaIT_j_QhxRFLtb6KihIIt-xs3OyrJJit_QxBqwXo5evzM6Mfn4vf-y6LCvFSTGJo8f0USrlWPet8T6z3gltXjBTSqbDKKY7M98eXfC5oIA32vDTfbx0qnIo=w408-h306-k-no
Cairo,Universities,جامعة خاصة,جامعة المستقبل,جامعة المستقبل,4.3,عدد التعليقات: ٥٩٣,"
End of 90th St، قسم أول القاهرة الجديدة، محافظة القاهرة‬ 4740011",4740011,"
2FGR+VM قسم أول القاهرة الجديدة","
02 26186100",https://www.fue.edu.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqhomr0pE8Zrx41LEsbjp6j6AifQeFfuNcyxoIkCyKVOIp5cbUKViYRz2UCoEMe4rIdgY3FgTmG0FDSCcIkwwS-SNezT2ETf2ExzUku8uB4CWSyW56HPusQu598qGMwxihM7oNiFQ=w408-h306-k-no
Cairo,Universities,جامعة خاصة,جامعة مصر للعلوم والتكنولوجيا,جامعة مصر للعلوم والتكنولوجيا,4.1,عدد التعليقات: ٣٬١٠٩,"
محور 26 يوليو، قسم أول 6 أكتوبر، محافظة الجيزة 3237101",3237101,"
XXW8+J5 قسم أول 6 أكتوبر","
02 38247455",https://must.edu.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepgEdzlhAtgXzhmtMtI-F09VwD2fVp-SYbh4XFNuscOTzxJ1pExMHgfIwVHhoir3EEX6raX5e1aVDj5m7lU-RjlbnC8xvuTztNRxAOXZVvalXZ7xEe46-Y-dCNJHvtu9w5OBYp0=w408-h272-k-no
Cairo,Universities,جامعة خاصة,الجامعة البريطانية في مصر,الجامعة البريطانية في مصر,4.5,عدد التعليقات: ٢٬٣٢٧,"
Suez Desert Road El Sherouk City، 11837",11837,"
4J94+49 الشروق","
02 26875890",https://www.bue.edu.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepaA2ofvKxkOXGddZnPFyCsgmWx2jW14pyikRGWLP7UNNHMT88MQN-YdluO8XFa7pEyhRlVMeoingpFRiuq6nozK0ucEHL4_-tX_zQOWV-JmRwZGIoWpJSVxDcRwDVQwxG-vxbp=w408-h271-k-no
Cairo,Universities,جامعة,جامعة عين شمس,جامعة عين شمس,4.1,عدد التعليقات: ١٬٦٢٧,"
شارع الخليفة المأمون، العباسية",,"
37GM+MR الوايلى","
02 26831474",http://www.asu.edu.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer0MP-RbZioptuAcu1r-zAh_FHaH-F93iElHADj2_L5gEBOqAFWiGWRo0A5mg3g2u7aIH0CnLEywoQAn5b2Wu-L5cbMgEOnL9IsidNJrwGpNnafyl4HX2aoSeZBzgp_nFdA69iC=w408-h306-k-no
Cairo,Universities,جامعة خاصة,الجامعة العربية المفتوحة,الجامعة العربية المفتوحة,4.3,عدد التعليقات: ٨١٣,"
20 20 الحي الثاني، الشروق، محافظة القاهرة‬ 11211",11211,"
5J47+45 الشروق","
02 26890500",http://www.aou.edu.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer-pySwPJrlYC1R1QSpbzmlJXRekkmFAtZnUAXmlcVv_buYaR-OnT4s_JdtQljC1hA296rneHzSQjKGpU_e2lon-kLjpyixQ7yOwT9FY903Bw5XGRw6frgJKIUaw6GdHSi6BFMp=w408-h270-k-no
Cairo,Universities,جامعة,جامعة القاهره,جامعة القاهره,4.5,عدد التعليقات: ٢٥٦,"
1 شارع الجامعة، أولى، قسم الجيزة، محافظة الجيزة 3750210",3750210,"
26G5+WG قسم الجيزة","
012 03330749",https://cu.edu.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweplSDZ-0xYNQWFx5ZpC9h0V6zJfO6g-dKx9S8shcTjmInFQ_nBbCkG4EHgcUVy27ZfEEck5yvYEPCJ0cLmpQlPEcmFSEk8YFHqSqSN3ErP0jyzUGmRcYU8nzqtysVjx3M8RRnJf=w408-h306-k-no
Cairo,Universities,جامعة خاصة,الجامعة الفرنسية فى مصر,الجامعة الفرنسية فى مصر,4.2,عدد التعليقات: ١٩٩,"
21 طريق مصر اسماعيلية الصحراوى، الشروق، محافظة القاهرة‬ 4923116",4923116,"
5J24+5P الشروق","
02 26873434",http://www.ufe.edu.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq52nRfHS5HfIi55__ZnbJ-Z55bcrVzCMjjX0el5s_aLmRHraz2geLG1OjTpwIHQRuCM0OGW5LgtEJww7YvZEmYGOGNe0VbHLeFk72XOE5nsPOBvdM6N7vtiGW1MS4ZCq2Ho0w=w408-h306-k-no
Cairo,Universities,جامعة خاصة,جامعة هليوبوليس للتنمية المستدامة,جامعة هليوبوليس للتنمية المستدامة,4.3,عدد التعليقات: ٣٩٨,"
3 طريق القاهرة - بلبيس الصحراوى El Salam City, محافظة القاهرة‬ 11785",11785,"
5C3H+5Q قسم ثان السلام","
012 23999146",http://www.hu.edu.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoGi_WQ2PnH75Wu-xa_lkm7rpXsZQWcy-X9Jr_cQUtep4sJ2uirF0XKUCNoHYX8fnWBe8HgbcXianCxSIi85FJWOdXg33MQeTrQmK31czN2ncBZKGRubv32_JZ9IAizFvz8t0FcRg=w408-h306-k-no
Cairo,Universities,جامعة خاصة,الجامعة المصرية الصينية,الجامعة المصرية الصينية,4.3,عدد التعليقات: ٦٠٢,"
14 أبو غزالة، منشية التحرير، قسم عين شمس، محافظة القاهرة‬ 4541312",4541312,"
486G+FX قسم عين شمس","
02 26351964",http://www.ecu.edu.eg/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5Hop_ia8l5Az8jxzD5yV4ZA1Ax9K6id0XtDsfyrIgFJ1UVTvfOP8qNRsNt-G_s0VD__JKiu4JSk5O-dYDmp-09u2gLuhcR-YSXr2etBNP-Ft3jQHKZ6SXvsUC4KUuZ4uXeUK_6A=w426-h240-k-no
